log_budget,log_revenue
18.197537192638155,18.95044249618342
16.523560759066484,18.384106506590737
18.197537192638155,18.75767705750698
14.22097566607244,15.761420707019587
16.90655301132259,18.03936604781184
16.733281290048552,15.68583487413669
15.201804919084164,18.347262412403424
18.951308995014536,20.466214650748363
16.97675726999584,18.444313106871768
16.90655301132259,16.77828405942415
15.687312734865866,15.254661802928357
14.552674623940995,17.50439001207821
19.11382792451231,20.479621499454815
16.300417207752275,18.0453615424053
13.563195629349785,18.75715298057358
16.47929750296961,15.192936208069304
16.11809565095832,15.990482709697357
17.50439001207821,18.652343971538173
18.258161814454592,19.481064529730414
15.520258650202699,15.517217485089766
17.909855120186375,19.136538163742262
16.811242831518264,16.62526036175237
13.815510557964274,16.40705458287798
17.4264284706085,17.08317730890638
14.508657738524219,15.495380465849498
17.686711568872166,19.977080273902235
18.197537192638155,19.319524746901184
18.683045008419857,19.426225375148984
8.987196820661973,13.060375201370237
14.077874822431765,12.779038917833734
17.14771506813948,17.45729591502344
17.98989782785991,19.433348177603133
17.72753356339242,18.603684076617657
17.034386382832476,18.22790476967492
17.14771506813948,20.038186461944836
18.258161814454592,19.219228776356623
16.99356438831222,19.01960854307108
14.038654109278484,15.042954839354087
14.068601185646436,15.60727002719233
15.250595083253597,17.46295577288276
17.909855120186375,18.911734989813908
16.11809565095832,14.912725537517211
17.37085861945369,17.29624005543166
18.792244300384848,19.542168287499184
16.11809565095832,17.437258184559862
15.89495209964411,16.8614013447852
15.60727002719233,14.880212674229888
16.454567887579532,18.99753992635522
17.4264284706085,18.380354803460296
13.815510557964274,16.012735135300492
18.132998671500584,19.62982800067862
16.811242831518264,18.017032604157073
18.75715298057358,19.02688339437929
16.811242831518264,15.674978362905232
18.82614585206053,19.18746744624598
17.72753356339242,19.47822168062434
17.073607095985757,18.510971410689113
17.034386382832476,19.457168644007513
18.560442686327523,19.752736453692012
17.37085861945369,18.05405970115151
18.369387449564815,20.113566672640502
18.064005800013632,19.356774930573337
19.755681810684706,20.767965553295905
17.14771506813948,18.048120711702726
14.781353068667677,15.495034077965062
18.82614585206053,19.47706232758332
17.216707939626428,17.749932777421876
17.622173047734595,19.172096832636285
18.560442686327523,20.148463766938043
18.51599092375669,19.004274564488007
15.955576721460545,16.766527904777323
18.683045008419857,19.589711756430024
18.31532022829454,19.48486497684859
19.11382792451231,20.748437466497155
17.909855120186375,18.681754861153046
18.440483371248543,18.686752496415604
18.720785336402702,19.319311850500466
17.216707939626428,19.20493162401604
17.45309671769066,15.503898088559497
18.698312480550644,20.19857685773933
17.034386382832476,18.36600909672018
17.14771506813948,17.78922302982524
18.197537192638155,19.266951758742607
17.622173047734595,18.815503185931927
17.034386382832476,16.187561730464694
18.980296531887788,19.527489407049067
17.37085861945369,18.29351517214189
17.822843743196746,18.422986403874507
14.914122846632385,17.034386382832476
14.603967918328545,16.25804461932129
15.89495209964411,16.975219096087244
17.45309671769066,18.403913912960032
16.523560759066484,12.666657052859417
18.132998671500584,20.590829054160746
18.197537192638155,19.337771155997086
16.012735135300492,14.899022406704786
17.7073308560749,16.83219132167062
17.216707939626428,17.379236852407704
17.216707939626428,18.471118264770148
17.034386382832476,18.852448997939955
17.37085861945369,14.560565419137895
17.553180176247643,18.494584867473225
17.034386382832476,17.849840838116403
17.50439001207821,17.955004681268175
17.822843743196746,18.000072368153567
18.792244300384848,20.431470347984988
15.424948470398375,17.978795065828333
15.538277155705378,16.731641026632808
15.89495209964411,17.118273494383548
18.132998671500584,18.845494932075244
17.98989782785991,17.489469655080608
17.216707939626428,13.112924975493177
14.914122846632385,14.847765784061343
17.72753356339242,16.170832587792482
17.111347423968603,16.38045991542581
16.93787548245163,17.456236074223888
18.420680743952367,19.408088190627407
14.67459581606765,15.745871876629957
16.38045991542581,13.956428353822481
18.663626922562756,19.68550796863021
18.197537192638155,18.913751867217837
16.300417207752275,17.575105688683827
13.122363377404328,13.311235101602815
16.11809565095832,16.896811994016357
18.82614585206053,17.47888649454328
16.012735135300492,17.015754400464065
17.50439001207821,18.821438797909234
17.72753356339242,18.545635715240152
18.469470908121796,19.666085789200338
17.111347423968603,17.918614527650263
17.599700191882537,18.92517809638062
18.146243898250606,17.374703219498684
16.811242831518264,18.617047561002597
15.03928598958639,17.25152918159065
18.197537192638155,19.998778308233994
17.840862248699423,17.86248202649813
19.33697147582652,20.86589713270006
17.216707939626428,17.73651921126677
18.337299135013314,19.534687861792527
17.7667542765457,18.138986535076533
16.300417207752275,18.21332153684937
18.60300230074632,20.535730713099568
17.909855120186375,18.019849637255362
17.216707939626428,18.448490522397503
17.216707939626428,17.127435134808035
17.64415195445337,18.4292520848318
18.064005800013632,18.858533529517782
16.300417207752275,17.80449460452855
17.822843743196746,18.764604995212277
15.761420707019587,12.855649266055352
16.64872390202049,18.395803372295088
15.89495209964411,13.286697458517205
17.216707939626428,18.356382428629733
18.197537192638155,17.490783537419354
15.424948470398375,17.07402485486621
17.216707939626428,17.96454462674436
18.60300230074632,19.665512100210325
15.89495209964411,17.96599694061845
16.523560759066484,19.572392874551255
14.403297222866392,18.031159208912687
14.914122846632385,16.1573163641116
18.258161814454592,18.893106830427868
17.216707939626428,19.7385732187406
17.4264284706085,18.373635225503147
17.909855120186375,17.867128083057526
19.231610960168695,20.31205251647548
17.553180176247643,19.00998915596536
16.67771143889374,15.764015765512173
17.281246460764002,16.73611295278044
15.761420707019587,15.80231241339563
17.622173047734595,16.231694478345094
19.06253463012476,21.132888530306882
18.643824295266576,19.628491175159517
17.622173047734595,19.032489086391163
16.99356438831222,19.273863206058326
18.197537192638155,16.13460875605705
16.11809565095832,16.198361595251168
17.37085861945369,16.908135031994988
18.02020317735524,17.03590111504618
15.89495209964411,14.637735415564785
17.37085861945369,18.69286546793074
16.213405830762646,16.811242831518264
13.710150042306449,12.85165640915851
16.300417207752275,17.303709638791453
14.914122846632385,18.506686636445174
16.70588231586044,18.43620890558554
17.216707939626428,17.427401078553093
16.811242831518264,18.579599504110607
18.064005800013632,19.18860696180859
17.37085861945369,17.12349555790425
18.258161814454592,18.819755564260785
17.909855120186375,18.67673150474787
16.300417207752275,16.947603256155396
17.553180176247643,18.962792140024224
18.064005800013632,18.858832669578657
16.588099280204055,16.756198880625096
16.300417207752275,17.46275802814675
18.197537192638155,18.65612052976059
18.184958410431296,18.968880236118647
14.836881766288936,17.334638134824687
17.47907220409392,18.144276490488323
17.942644943009366,17.772583427065126
18.197537192638155,18.729336985118785
17.034386382832476,17.159836625745815
16.70031127081098,15.754055507547351
16.38045991542581,15.872283088191162
17.312018119430753,19.413777793882538
17.216707939626428,15.950185863922648
16.012735135300492,3.828641396489095
19.08851011652802,20.839934470554095
16.835935444108635,16.126993249665578
14.77102200299171,13.22347126343721
16.90655301132259,18.811915363922097
19.008467408854486,19.82580398882619
17.216707939626428,16.91611739912246
18.172219384653864,19.158783594013762
19.008467408854486,20.43399177394988
17.05360060175628,17.201536465964562
18.890684373198102,18.91847016040225
16.454567887579532,19.584286740769716
16.523560759066484,16.817092637987923
18.132998671500584,16.38812278817138
18.064005800013632,18.545374053022304
15.201804919084164,13.915068068711143
15.068273526459642,10.702390170761937
17.50439001207821,17.817055148837618
14.978661367769956,15.489410613619226
18.720785336402702,20.093939112902333
18.60300230074632,18.939341171331822
18.82614585206053,19.839215188106337
13.122363377404328,11.49289621199639
15.816990558174398,16.898213699354077
16.811242831518264,17.27115755093421
15.201804919084164,17.048092029888586
14.914122846632385,13.997832114758229
18.951308995014536,19.21865936473441
17.72753356339242,18.394717661156392
16.70588231586044,18.837209582656083
17.599700191882537,15.063786618182299
18.420680743952367,19.33411983375738
17.216707939626428,18.376884277991437
16.99356438831222,17.55567969270923
17.216707939626428,16.48689677469489
18.064005800013632,19.908683269508142
17.72753356339242,17.281802649812192
16.523560759066484,17.596241239324804
18.03501826314038,18.038949672073848
13.122363377404328,11.920235536752422
18.60300230074632,20.227356025632655
17.09265529095645,18.886772406424118
17.034386382832476,18.078321891153585
16.454567887579532,14.378100205307444
14.508657738524219,17.01829082146888
18.31532022829454,18.003652777917797
18.31532022829454,18.90827663664486
12.100712129872347,13.710150042306449
16.588099280204055,16.842129489632935
16.300417207752275,18.143366631306257
16.523560759066484,17.220125991426123
12.429216196844383,16.302188305099698
18.410630408098864,19.32178925901524
14.403297222866392,16.060495351265903
17.37085861945369,18.098220031847397
17.399029496420383,18.23628584727396
19.11382792451231,20.09190025570506
15.89495209964411,13.223422455128219
18.683045008419857,19.81486921940004
17.034386382832476,17.76372428691376
17.98989782785991,18.353745603883212
14.508657738524219,14.17431932368516
14.978661367769956,17.32392950246117
17.50439001207821,17.548336703643894
0.0,15.955576721460545
18.51599092375669,19.637313228300346
17.72753356339242,17.92823379296389
17.14771506813948,18.708461606524242
17.37085861945369,16.898307657079496
18.184958410431296,20.646695111627153
17.529082624668582,15.823507788332392
18.132998671500584,19.721621495953116
18.197537192638155,19.941716550599875
15.201804919084164,16.410910925953846
17.622173047734595,15.343219408294809
17.034386382832476,16.9759094530735
17.26549810379586,18.30930641484656
15.068273526459642,16.381040592953823
19.283570699099407,21.748577807169436
15.520258650202699,15.397577273602243
18.132998671500584,18.402108981431244
16.300417207752275,17.84617798794684
17.7667542765457,19.68829835673614
15.89495209964411,16.933168784539983
17.50439001207821,17.72006129540369
16.38045991542581,17.32406645794693
16.811242831518264,18.993033274118307
18.643824295266576,20.11884009621815
17.909855120186375,17.847269890133088
18.31532022829454,19.284423917283707
14.914122846632385,15.733023584053031
18.064005800013632,17.87695939008874
